platform	subject	trial	choice	accuracy
mturk	0g4fx9g2wryeio74yzgqwpq8	81	0.9905	0.9905
mturk	0g4fx9g2wryeio74yzgqwpq8	82	0.9995	0.9995
mturk	0g4fx9g2wryeio74yzgqwpq8	83	0.9995	0.9995
mturk	0g4fx9g2wryeio74yzgqwpq8	84	0.998	0.998
mturk	0g4fx9g2wryeio74yzgqwpq8	85	1.0	1.0
mturk	0g4fx9g2wryeio74yzgqwpq8	86	0.7205	0.7205
mturk	0g4fx9g2wryeio74yzgqwpq8	87	0.9975	0.9975
mturk	0g4fx9g2wryeio74yzgqwpq8	88	0.6245	0.6245
mturk	0g4fx9g2wryeio74yzgqwpq8	89	0.9955	0.9955
mturk	0g4fx9g2wryeio74yzgqwpq8	90	0.9985	0.9985
mturk	0k1tzkzdb7dvx6z9q0nyovde	1	0.322	0.322
mturk	0k1tzkzdb7dvx6z9q0nyovde	2	0.9805	0.9805
mturk	0k1tzkzdb7dvx6z9q0nyovde	3	0.985	0.985
mturk	0k1tzkzdb7dvx6z9q0nyovde	4	0.44	0.44
mturk	0k1tzkzdb7dvx6z9q0nyovde	5	0.9845	0.9845
mturk	0k1tzkzdb7dvx6z9q0nyovde	6	0.9895	0.9895
mturk	0k1tzkzdb7dvx6z9q0nyovde	7	0.9885	0.9885
mturk	0k1tzkzdb7dvx6z9q0nyovde	8	0.9935	0.9935
mturk	0k1tzkzdb7dvx6z9q0nyovde	9	0.992	0.992
mturk	0k1tzkzdb7dvx6z9q0nyovde	10	0.9935	0.9935
mturk	0k1tzkzdb7dvx6z9q0nyovde	11	0.9925	0.9925
mturk	0k1tzkzdb7dvx6z9q0nyovde	12	0.467	0.467
mturk	0k1tzkzdb7dvx6z9q0nyovde	13	0.4805	0.06
mturk	0k1tzkzdb7dvx6z9q0nyovde	14	0.8325	0.105
mturk	0k1tzkzdb7dvx6z9q0nyovde	15	0.406	0.406
mturk	0k1tzkzdb7dvx6z9q0nyovde	16	0.997	0.0015
mturk	0k1tzkzdb7dvx6z9q0nyovde	17	0.999	0.001
mturk	0k1tzkzdb7dvx6z9q0nyovde	18	0.9075	0.0465
mturk	0k1tzkzdb7dvx6z9q0nyovde	19	0.396	0.3125
mturk	0k1tzkzdb7dvx6z9q0nyovde	20	0.417	0.4555
mturk	0k1tzkzdb7dvx6z9q0nyovde	21	0.666	0.666
mturk	0k1tzkzdb7dvx6z9q0nyovde	22	0.998	0.998
mturk	0k1tzkzdb7dvx6z9q0nyovde	23	0.9995	0.9995
