platform,subject,block,trial,correct,choice,key,rt,accuracy,outcome
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,4,50,0,0.0,37.0,0.971,1.0,0.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,4,51,0,1.0,38.0,0.811,0.0,0.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,4,52,0,2.0,39.0,0.435,0.0,0.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,4,53,0,0.0,37.0,0.387,1.0,1.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,4,54,0,0.0,37.0,0.682,1.0,1.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,4,55,0,0.0,37.0,0.558,1.0,1.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,4,56,0,0.0,37.0,0.434,1.0,1.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,4,57,0,0.0,37.0,0.362,1.0,1.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,4,58,0,0.0,37.0,0.868,1.0,1.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,4,59,0,0.0,37.0,0.166,1.0,1.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,4,60,0,0.0,37.0,0.556,1.0,1.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,5,61,1,0.0,37.0,0.467,0.0,0.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,5,62,1,1.0,38.0,0.248,1.0,1.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,5,63,1,1.0,38.0,0.418,1.0,1.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,5,64,1,1.0,38.0,1.197,1.0,1.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,5,65,1,1.0,38.0,0.767,1.0,1.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,5,66,1,1.0,38.0,0.58,1.0,1.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,5,67,1,1.0,38.0,0.555,1.0,1.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,5,68,1,1.0,38.0,0.372,1.0,1.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,5,69,1,1.0,38.0,0.379,1.0,1.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,5,70,1,1.0,38.0,0.427,1.0,1.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,5,71,1,1.0,38.0,0.747,1.0,1.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,5,72,1,1.0,38.0,0.434,1.0,1.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,5,73,1,1.0,38.0,0.434,1.0,1.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,5,74,1,1.0,38.0,0.405,1.0,1.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,5,75,1,1.0,38.0,0.331,1.0,1.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,6,76,2,1.0,38.0,0.315,0.0,1.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,6,77,2,1.0,38.0,0.341,0.0,0.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,6,78,2,2.0,39.0,0.061,1.0,1.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,6,79,2,2.0,39.0,0.394,1.0,1.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,6,80,2,2.0,39.0,0.365,1.0,0.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,6,81,2,0.0,37.0,0.573,0.0,0.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,6,82,2,1.0,38.0,1.095,0.0,0.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,6,83,2,2.0,39.0,0.578,1.0,1.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,6,84,2,2.0,39.0,0.324,1.0,1.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,6,85,2,2.0,39.0,0.917,1.0,1.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,6,86,2,2.0,39.0,0.693,1.0,1.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,6,87,2,2.0,39.0,0.401,1.0,1.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,6,88,2,2.0,39.0,3.22,1.0,1.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,6,89,2,2.0,39.0,0.54,1.0,1.0
mturk,0a8zkiu9rpf0mxo0h9ecdyzh,6,90,2,2.0,39.0,0.611,1.0,1.0
mturk,0g4fx9g2wryeio74yzgqwpq8,1,1,2,1.0,38.0,2.022,0.0,0.0
mturk,0g4fx9g2wryeio74yzgqwpq8,1,2,2,0.0,37.0,0.555,0.0,0.0
mturk,0g4fx9g2wryeio74yzgqwpq8,1,3,2,2.0,39.0,0.3,1.0,1.0
mturk,0g4fx9g2wryeio74yzgqwpq8,1,4,2,2.0,39.0,0.373,1.0,1.0
