platform,subject,trial,correct,choice,key,rt,accuracy,outcome
mturk,0k1tzkzdb7dvx6z9q0nyovde,78,2,2.0,39.0,0.076,1.0,1.0
mturk,0k1tzkzdb7dvx6z9q0nyovde,79,2,2.0,39.0,0.292,1.0,0.0
mturk,0k1tzkzdb7dvx6z9q0nyovde,80,2,2.0,39.0,0.195,1.0,1.0
mturk,0k1tzkzdb7dvx6z9q0nyovde,81,2,2.0,39.0,0.259,1.0,1.0
mturk,0k1tzkzdb7dvx6z9q0nyovde,82,2,2.0,39.0,0.324,1.0,0.0
mturk,0k1tzkzdb7dvx6z9q0nyovde,83,2,2.0,39.0,0.285,1.0,0.0
mturk,0k1tzkzdb7dvx6z9q0nyovde,84,2,1.0,38.0,0.316,0.0,1.0
mturk,0k1tzkzdb7dvx6z9q0nyovde,85,2,1.0,38.0,0.332,0.0,1.0
mturk,0k1tzkzdb7dvx6z9q0nyovde,86,2,1.0,38.0,0.714,0.0,1.0
mturk,0k1tzkzdb7dvx6z9q0nyovde,87,2,1.0,38.0,0.35,0.0,0.0
mturk,0k1tzkzdb7dvx6z9q0nyovde,88,2,1.0,38.0,0.572,0.0,0.0
mturk,0k1tzkzdb7dvx6z9q0nyovde,89,2,2.0,39.0,0.292,1.0,1.0
